ID,Official_Code,Name,Type,Category,State,LGA,Ward,Address,Status,Sources
630,"GJSS PERO","GOVERNMENT JUNIOR SECONDARY SCHOOL PERO",junior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#291); GSU(#291); FCET_GOMBE(#291)"
631,"GJSS YAPILO FILIYA","GOVERNMENT JUNIOR SECONDARY SCHOOL YAPILO FILIYA",junior,public,GOMBE,SHONGOM,"FILIYA","FILIYA",active,"FUK(#548)"
632,"COMSS FILIYA","COMMUNITY SECONDARY SCHOOL FILIYA",senior,public,GOMBE,SHONGOM,"FILIYA","FILIYA",active,"FUK(#546)"
633,"GF FILIYA","GCDSS FILIYA",senior,public,GOMBE,SHONGOM,"FILIYA","FILIYA",active,"FUK(#545)"
634,"GCDSS FILIYA","GOVERNMENT COMPREHENSIVE DAY SECONDARY SCHOOL FILIYA",senior,public,GOMBE,SHONGOM,"FILIYA","OPPOSITE UMCN  NO. 1 FILIYA",active,"GSU(#537)"
635,"GCSSS LALAIPIDO","GOVERNMENT COMPREHENSIVE SENIOR SECONDARY SCHOOL LALAIPIDO",senior,public,GOMBE,SHONGOM,"LALAIPIDO","ALONG FILIYA ROAD",active,"FUK(#464); GSU(#464)"
636,"GDSS BAGUNJI, FILIYA","GOVERNMENT DAY SECONDARY SCHOOL BAGUNJI, FILIYA",senior,public,GOMBE,SHONGOM,"BAGUNJI, FILIYA","BAGUNJI",active,"FUK(#623)"
637,"GDSS KUJERA KUSHI","GOVERNMENT DAY SECONDARY SCHOOL KUJERA KUSHI",senior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#285); GSU(#285); FCET_GOMBE(#285)"
638,"GVTC LAPAN","GOVERNMENT VOCATIONAL TRAINING CENTER LAPAN",senior,public,GOMBE,SHONGOM,"SHONGOM","SHONGOM",active,"FUK(#303); GSU(#303); FCET_GOMBE(#303)"
639,"BC PRIMARY SCHOOL DADINKOWA","BELLO CENTRAL PRIMARY SCHOOL DADINKOWA",primary,public,GOMBE,YAMALTU DEBA,"DADINKOWA","DADINKOWA",active,"GSU(#372); FCET_GOMBE(#372)"
640,"DP SCHOOL BAURE","DANGAR PRIMARY SCHOOL BAURE",primary,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"GSU(#314); FCET_GOMBE(#314)"
641,"DC PRIMARY SCHOOL","DEBA CENTRAL PRIMARY SCHOOL",primary,public,GOMBE,YAMALTU DEBA,"YAMALTU DEBA","YAMALTU DEBA",active,"GSU(#318); FCET_GOMBE(#318)"
